
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:30:05.487196   +0.00409 T   -0.00396 T   -0.00370 T   0.00679 T
   2018-07-18 14:30:07.577165   +0.00568 T   -0.00398 T   -0.00412 T   0.00807 T
   2018-07-18 14:30:09.666634   +0.00411 T   -0.00446 T   -0.00386 T   0.00719 T
   2018-07-18 14:30:11.756383   +0.00456 T   -0.00456 T   -0.00355 T   0.00736 T
   2018-07-18 14:30:13.845996   +0.00507 T   -0.00506 T   -0.00373 T   0.00808 T
   2018-07-18 14:30:15.935690   +0.00377 T   -0.00396 T   -0.00356 T   0.00652 T
   2018-07-18 14:30:18.025410   +0.00456 T   -0.00351 T   -0.00425 T   0.00715 T
   2018-07-18 14:30:20.115221   +0.00428 T   -0.00385 T   -0.00413 T   0.00709 T
   2018-07-18 14:30:22.204676   +0.00471 T   -0.00321 T   -0.00369 T   0.00679 T
   2018-07-18 14:30:24.294376   +0.00537 T   -0.00383 T   -0.00330 T   0.00738 T
   2018-07-18 14:30:26.384113   +0.00473 T   -0.00428 T   -0.00412 T   0.00759 T
   2018-07-18 14:30:28.473746   +0.00391 T   -0.00410 T   -0.00299 T   0.00641 T
   2018-07-18 14:30:30.563758   +0.00408 T   -0.00321 T   -0.00396 T   0.00653 T
   2018-07-18 14:30:32.653276   +0.00503 T   -0.00410 T   -0.00341 T   0.00733 T
   2018-07-18 14:30:34.742918   +0.00427 T   -0.00460 T   -0.00427 T   0.00759 T
   2018-07-18 14:30:36.832640   +0.00440 T   -0.00441 T   -0.00410 T   0.00746 T
   2018-07-18 14:30:38.922393   +0.00474 T   -0.00370 T   -0.00372 T   0.00707 T
   2018-07-18 14:30:41.012155   +0.00474 T   -0.00340 T   -0.00413 T   0.00715 T
   2018-07-18 14:30:43.101963   +0.00376 T   -0.00381 T   -0.00355 T   0.00642 T
   2018-07-18 14:30:45.191510   +0.00411 T   -0.00385 T   -0.00413 T   0.00698 T
   2018-07-18 14:30:47.281190   +0.00487 T   -0.00485 T   -0.00479 T   0.00838 T
